VideoName,Class,StartTime,EndTime,Id
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000000,000015,01
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000015,000026,02
20161102000728984@DVR-SPARE_Ch1.wmv,conf,000026,000034,03
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000034,000036,04
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000036,000105,05
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000105,000516,06
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000516,000727,07
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000727,000733,08
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000733,000738,09
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000738,000741,10
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000741,000748,11
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000748,000751,12
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000751,000758,13
20161102000728984@DVR-SPARE_Ch1.wmv,nada,000758,000801,14
20161102000728984@DVR-SPARE_Ch1.wmv,tubo,000801,003001,15
