VideoName,Class,StartTime,EndTime,Id
20161102064423359@DVR-SPARE_Ch1.wmv,tubo,000000,002238,01
20161102064423359@DVR-SPARE_Ch1.wmv,conf,002238,002301,02
20161102064423359@DVR-SPARE_Ch1.wmv,tubo,002301,002419,03
20161102064423359@DVR-SPARE_Ch1.wmv,conf,002419,002446,04
20161102064423359@DVR-SPARE_Ch1.wmv,nada,002446,002451,05
20161102064423359@DVR-SPARE_Ch1.wmv,tubo,002451,002607,06
20161102064423359@DVR-SPARE_Ch1.wmv,conf,002607,002616,07
20161102064423359@DVR-SPARE_Ch1.wmv,nada,002616,002651,08
20161102064423359@DVR-SPARE_Ch1.wmv,conf,002651,002719,09
20161102064423359@DVR-SPARE_Ch1.wmv,tubo,002719,002728,10
