VideoName,Class,StartTime,EndTime,Id
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,000000,000008,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,000008,000655,02
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,000655,000710,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,000710,001615,04
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,001615,001630,05
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,001630,002022,06
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,002022,002141,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,conf,002141,002254,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,002254,002321,09
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,conf,002321,002421,10
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,002421,002457,11
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,002457,002551,12
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,002551,002558,13
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,002558,002606,14
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,002606,002959,15
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,002959,003056,16
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,conf,003056,003111,17
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,003111,003220,18
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,003220,003234,19
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,003234,003323,20
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,003323,003536,21
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,003536,003807,22
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,003807,003841,23
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,003841,004006,24
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,004006,004021,25
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,conf,004021,004038,26
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,tubo,004038,004051,27
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,nada,004051,004218,28
