VideoName,Class,StartTime,EndTime,Id
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,000000,000006,01
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,000006,000013,02
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,000013,000201,03
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,000201,000357,04
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,000357,000446,05
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,000446,000706,06
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,000706,000810,07
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,000810,000815,08
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,000815,001000,09
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001000,001441,10
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001441,001458,11
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001458,001525,12
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001525,001533,13
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001533,001536,14
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001536,001657,15
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001657,001700,16
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001700,001714,17
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001714,001729,18
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001729,001811,19
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001811,001814,20
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001814,001901,21
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,nada,001901,001909,22
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,conf,001909,001935,23
GHmls16-263_OK/DVD-1/20161101202838328@DVR-SPARE_Ch1.wmv,tubo,001935,002216,24
