VideoName,Class,StartTime,EndTime,Id
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,022946,022949,01
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,022954,022957,02
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023002,023005,03
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023047,023059,04
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023110,023112,05
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023409,023414,06
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023418,023425,07
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023508,023511,08
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023515,023517,09
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023532,023542,10
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023622,023624,11
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023625,023627,12
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023632,023637,13
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,023643,023655,14
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023655,023658,15
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,gaio,023700,023705,16
