VideoName,Class,StartTime,EndTime,Id
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,000000,000008,01
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,000008,000655,02
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,000655,000710,03
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,000710,001615,04
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,001615,001630,05
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,001630,002022,06
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,002022,002141,07
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,conf,002141,002254,08
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,002254,002321,09
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,conf,002321,002421,10
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,002421,002457,11
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,002457,002551,12
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,002551,002558,13
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,002558,002606,14
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,002606,002959,15
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,002959,003056,16
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,conf,003056,003111,17
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,003111,003220,18
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,003220,003234,19
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,003234,003323,20
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,003323,003536,21
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,003536,003807,22
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,003807,003841,23
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,003841,004006,24
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,004006,004021,25
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,conf,004021,004038,26
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,004038,004051,27
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,004051,004218,28
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,004218,004257,29
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,004257,004310,30
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,004310,004325,31
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,004325,004406,32
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,tubo,004406,004506,33
SVTab17-001_OK/OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,nada,004506,004519,34
