VideoName,Class,StartTime,EndTime,Id
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,000000,000032,01
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,nada,000032,000107,02
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,000107,000841,03
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,nada,000841,000924,04
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,000924,000948,05
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,nada,000948,001233,06
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,tubo,001233,001515,07
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,001515,001553,08
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,nada,001553,001838,09
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,001838,001904,10
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,tubo,001904,002125,11
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,nada,002125,002248,12
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,conf,002248,002254,13
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 20.32.35_C1.wmv,tubo,002254,003002,14
