VideoName,Class,StartTime,EndTime,Id,Tags
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,001450,001526,01,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,001820,001850,02,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,001907,001921,03,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,001930,001934,04,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,001943,002011,05,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002101,002111,06,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002113,002117,07,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002119,002120,08,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002200,002205,09,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002217,002226,10,
GHmls16-263_OK/20161101212059250@DVR-SPARE_Ch1,dano,002235,002306,11,
