VideoName,Class,StartTime,EndTime,Id,Tags
TCOpm16-140_OK/DVD-1/VTS_01_2,cruz,000000,000103,1,Cruzamento
TCOpm16-140_OK/DVD-1/VTS_01_2,cruz,002027,002212,2,Cruzamento
TCOpm16-140_OK/DVD-1/VTS_01_2,cruz,002300,002330,3,Cruzamento
TCOpm16-140_OK/DVD-1/VTS_01_2,cruz,002716,002732,4,Cruzamento
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,005642,005705,5,Reparo em bom estado
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,005713,005855,5,
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,005940,010030,5,
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,010107,010148,5,
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,010433,010444,5,
TCOpm16-140_OK/DVD-1/VTS_01_2,repr,010500,011300,5,
