VideoPath,Report,DVD,VideoName,EventId,FrameTime,AbsoluteFrameNumber,RelativeFrameNumber,Tags,FramePath
FAmls16-119_OK/VTS_02_1,FAmls16-119_OK,,VTS_02_1,1,,,1,limpo-cruz,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_02_1\Tubo_Limpo\VTS_02_1 ID1 FRAME1 cruz.jpg
FAmls16-119_OK/VTS_02_1,FAmls16-119_OK,,VTS_02_1,2,,,32,limpo-trin,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_02_1\Tubo_Limpo\VTS_02_1 ID2 FRAME32 trin.jpg
FAmls16-119_OK/VTS_02_1,FAmls16-119_OK,,VTS_02_1,3,,,176,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_02_1\Tubo_Limpo\VTS_02_1 ID3 FRAME176 asso.jpg
FAmls16-119_OK/VTS_02_1,FAmls16-119_OK,,VTS_02_1,3,,,86,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_02_1\Tubo_Limpo\VTS_02_1 ID3 FRAME86 asso.jpg
FAmls16-119_OK/VTS_02_1,FAmls16-119_OK,,VTS_02_1,3,,,9,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_02_1\Tubo_Limpo\VTS_02_1 ID3 FRAME9 asso.jpg
FAmls16-119_OK/VTS_04_1,FAmls16-119_OK,,VTS_04_1,1,,,22,evento-dano,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_04_1\Tubo_Evento\VTS_04_1 ID1 FRAME22 dano.jpg
FAmls16-119_OK/VTS_04_1,FAmls16-119_OK,,VTS_04_1,1,,,26,evento-dano,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_04_1\Tubo_Evento\VTS_04_1 ID1 FRAME26 dano.jpg
FAmls16-119_OK/VTS_04_1,FAmls16-119_OK,,VTS_04_1,1,,,9,evento-dano,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_04_1\Tubo_Evento\VTS_04_1 ID1 FRAME9 dano.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,1,,,19,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID1 FRAME19 asso.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,1,,,2,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID1 FRAME2 asso.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,1,,,26,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID1 FRAME26 asso.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,1,,,69,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID1 FRAME69 asso.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,1,,,86,limpo-asso,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID1 FRAME86 asso.jpg
FAmls16-119_OK/VTS_06_1,FAmls16-119_OK,,VTS_06_1,2,,,12,limpo-trin,..\datasets\all_datasets\dataset_registro_de_eventos\FAmls16-119_OK\VTS_06_1\Tubo_Limpo\VTS_06_1 ID2 FRAME12 trin.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,105,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME105 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,111,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME111 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,117,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME117 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,123,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME123 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,141,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME141 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,145,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME145 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,15,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME15 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,21,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME21 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,27,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME27 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,3,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME3 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,333,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME333 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,345,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME345 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,363,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME363 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,369,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME369 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,387,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME387 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,393,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME393 ondl.jpg
FSll16-224_OK/DVD-1/VIDEO_TS/VTS_01_2,FSll16-224_OK,1,VTS_01_2,3,,,423,limpo-ondl,..\datasets\all_datasets\dataset_registro_de_eventos\FSll16-224_OK\DVD-1\VIDEO_TS\VTS_01_2\Tubo_ondulacao_limpo\DVD-1-VIDEO_TS-VTS_01_2 ID3 FRAME423 ondl.jpg
