VideoName,Class,StartTime,EndTime,Id,Obs
VTS_01_3,repr,011347,011425,1,
VTS_01_3,repr,011444,011625,1,
VTS_01_3,repr,011705,011813,1,
VTS_01_4,repr,000125,000132,1,
VTS_01_4,repr,000203,000218,1,
VTS_01_4,repr,000220,000239,2,
VTS_01_4,repr,000250,000259,2,
VTS_01_4,repr,000305,000413,2,
VTS_01_4,repr,000549,000554,2,
VTS_01_4,repr,000605,000611,2,
VTS_01_4,repr,000840,000858,2,
VTS_01_4,repr,000908,000927,2,
VTS_01_2,ondl,005030,005040,3,Evento com muitas variaveis (inspecao de um trecho longo)
VTS_01_2,ondl,005210,005250,3,
VTS_01_2,ondl,005340,005410,3,
VTS_01_2,ondl,005530,005609,3,
VTS_01_2,ondl,005927,005953,3,
VTS_01_2,ondl,000908,000908,3,
VTS_01_2,ondl,010030,010135,3,
VTS_01_2,ondl,010254,010400,3,
VTS_01_2,ondl,011500,011650,3,
VTS_01_2,ondl,011737,001819,3,
