VideoName,Class,StartTime,EndTime,Id,Obs
20161101212059250@DVR-SPARE_Ch1,dano,001450,001526,01,
20161101212059250@DVR-SPARE_Ch1,dano,001820,001850,02,
20161101212059250@DVR-SPARE_Ch1,dano,001907,001921,03,
20161101212059250@DVR-SPARE_Ch1,dano,001930,001934,04,
20161101212059250@DVR-SPARE_Ch1,dano,001943,002011,05,
20161101212059250@DVR-SPARE_Ch1,dano,002101,002111,06,
20161101212059250@DVR-SPARE_Ch1,dano,002113,002117,07,
20161101212059250@DVR-SPARE_Ch1,dano,002119,002120,08,
20161101212059250@DVR-SPARE_Ch1,dano,002200,002205,09,
20161101212059250@DVR-SPARE_Ch1,dano,002217,002226,10,
20161101212059250@DVR-SPARE_Ch1,dano,002235,002306,11,
20161102061422703@DVR-SPARE_Ch1,repr,002114,002140,12,reparo1
20161102064423359@DVR-SPARE_Ch1,repr,000716,000739,13,reparo2
20161102064423359@DVR-SPARE_Ch1,repr,000828,000847,14,reparo3
20161102064423359@DVR-SPARE_Ch1,repr,001611,001628,15,reparo4
20161102064423359@DVR-SPARE_Ch1,repr,001722,001730,16,reparo5
20161102064423359@DVR-SPARE_Ch1,repr,001915,001935,17,reparo6
20161102064423359@DVR-SPARE_Ch1,repr,002320,002338,18,reparo7
20161106091420250@DVR-SPARE_Ch1,repr,000325,000338,19,reparo_nao_documentado
20161106091420250@DVR-SPARE_Ch1,repr,000440,000447,20,reparo_nao_documentado
20161106091420250@DVR-SPARE_Ch1,repr,000658,000711,21,reparo_nao_documentado
20161106091420250@DVR-SPARE_Ch1,repr,001139,001146,22,reparo_nao_documentado
20161106091420250@DVR-SPARE_Ch1,repr,002003,002058,23,reparo8_e_9
20161106091420250@DVR-SPARE_Ch1,repr,002229,002302,24,reparo10
20161106091420250@DVR-SPARE_Ch1,repr,002432,002537,25,reparo11
20161106094421453@DVR-SPARE_Ch1,repr,000827,001030,26,reparo12_e_13
20161106094421453@DVR-SPARE_Ch1,repr,001241,001250,27,reparo14
