VideoName,Class,StartTime,EndTime,Id,Obs
DVD-3/VIDEO_TS/VTS_01_3,repr,011347,011425,1,
DVD-3/VIDEO_TS/VTS_01_3,repr,011444,011625,1,
DVD-3/VIDEO_TS/VTS_01_3,repr,011737,011813,1,
DVD-3/VIDEO_TS/VTS_01_4,repr,000125,000132,1,
DVD-3/VIDEO_TS/VTS_01_4,repr,000210,000218,1,
DVD-3/VIDEO_TS/VTS_01_4,repr,000220,000234,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000250,000258,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000305,000413,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000549,000554,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000605,000611,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000840,000850,2,
DVD-3/VIDEO_TS/VTS_01_4,repr,000908,000927,2,
DVD-1/VIDEO_TS/VTS_01_2,ondl,005030,005040,3,Evento com muitas variaveis (inspecao de um trecho longo) incluir trecho sem ondulacaoo como nao-classe
DVD-1/VIDEO_TS/VTS_01_2,ondl,005210,005250,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,005340,005410,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,005530,005609,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,005927,005953,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,010254,010400,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,010700,010908,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,011500,011650,3,
DVD-1/VIDEO_TS/VTS_01_2,ondl,011737,001819,3,
