VideoName,Class,StartTime,EndTime,Id
PIDF-1 PO MRL-021_parte1.mpg,tubo,000000,000455,01
PIDF-1 PO MRL-021_parte1.mpg,nada,000455,000507,02
PIDF-1 PO MRL-021_parte1.mpg,tubo,000507,000716,03
PIDF-1 PO MRL-021_parte1.mpg,conf,000716,000800,04
PIDF-1 PO MRL-021_parte1.mpg,nada,000800,000910,05
PIDF-1 PO MRL-021_parte1.mpg,tubo,000910,000940,06
PIDF-1 PO MRL-021_parte1.mpg,nada,000940,001001,07
PIDF-1 PO MRL-021_parte1.mpg,tubo,001001,001014,08
PIDF-1 PO MRL-021_parte1.mpg,conf,001014,001106,09
PIDF-1 PO MRL-021_parte1.mpg,tubo,001106,001727,10
PIDF-1 PO MRL-021_parte1.mpg,conf,001727,002050,11
PIDF-1 PO MRL-021_parte1.mpg,tubo,002050,002520,12
PIDF-1 PO MRL-021_parte1.mpg,nada,002520,003020,13
PIDF-1 PO MRL-021_parte1.mpg,tubo,003020,003510,14
PIDF-1 PO MRL-021_parte1.mpg,conf,003510,003620,15
PIDF-1 PO MRL-021_parte1.mpg,tubo,003620,003735,16
PIDF-1 PO MRL-021_parte1.mpg,conf,003735,005250,17
PIDF-1 PO MRL-021_parte1.mpg,tubo,005250,005300,18
PIDF-1 PO MRL-021_parte1.mpg,nada,005300,005350,19
PIDF-1 PO MRL-021_parte1.mpg,tubo,005350,010406,20
PIDF-1 PO MRL-021_parte1.mpg,conf,010406,010427,21
PIDF-1 PO MRL-021_parte1.mpg,tubo,010427,012428,22
PIDF-1 PO MRL-021_parte1.mpg,conf,012428,012434,23
PIDF-1 PO MRL-021_parte1.mpg,tubo,012434,013517,24
PIDF-1 PO MRL-021_parte1.mpg,conf,013517,013526,25
PIDF-1 PO MRL-021_parte1.mpg,tubo,013526,015221,26
PIDF-1 PO MRL-021_parte1.mpg,nada,015221,015228,27
PIDF-1 PO MRL-021_parte1.mpg,tubo,015228,020109,28
PIDF-1 PO MRL-021_parte1.mpg,conf,020109,020145,29
PIDF-1 PO MRL-021_parte1.mpg,tubo,020145,020404,30
PIDF-1 PO MRL-021_parte1.mpg,conf,020404,020444,31
