VideoName,Class,StartTime,EndTime,Id
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,022946,022949,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,022954,022957,02
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023002,023005,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023047,023059,04
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023110,023112,05
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023409,023414,06
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023418,023425,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023508,023511,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023515,023517,09
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023532,023542,10
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023622,023624,11
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023625,023627,12
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023632,023637,13
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,dano,023643,023655,14
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023655,023658,15
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017.avi,gaio,023700,023705,16
