VideoName,Class,StartTime,EndTime,Id,Tags
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,evto,000000,000007,01,flange-anodo
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,conf,000007,000026,02,
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,evto,000026,000219,03,flange-anodo
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,evto,000219,000520,04,flange-anodo-zoom
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,evto,000520,000650,05,flange-anodo
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,nevt,000650,000900,06,boia
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,nevt,000900,001010,07,boia-zoom
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,nevt,001010,001330,08,boia
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,evto,001330,001348,09,torcao
TVILL16-054_OK/DVD-1/Dive 420 16-02-24 23.32.35_C1,nevt,001348,003000,10,boia
